segment_type,segment,orders,observed,expected,raw_late_rate,smr,ci_lower,ci_upper,excess_late_orders,p_excess,q_excess,seller_tail,positive_excess,seller_share,cumulative_positive_excess_share
seller,f35b3c613c4f7b2275f4185d0a3c59ec,9,2.0,0.6465859027877933,0.2222222222222222,3.0931698191638297,0.37459721515681893,11.173592923344435,1.3534140972122066,0.13746703312983027,,False,1.3534140972122066,0.11668928086838534,0.79923528738102
seller,a67780aba9dd436e7ac0aa1f889e73ec,6,2.0,0.6487440799859252,0.3333333333333333,3.0828797698522212,0.3733510424468457,11.13642172716351,1.3512559200140748,0.1381984416487927,,False,1.3512559200140748,0.11702849389416553,0.7999505561779249
seller,04e38a233f726ef161074ab1c9b0399a,19,3.0,1.6490918165803814,0.15789473684210525,1.819183122393338,0.375159294755645,5.316425065962955,1.3509081834196186,0.229402402418014,,False,1.3509081834196186,0.11736770691994572,0.8006656409052304
seller,42b729f859728f5079499127a9c2ef37,99,8.0,6.649712237488687,0.08080808080808081,1.2030595782624813,0.5193957352435551,2.3705069719146823,1.3502877625113134,0.3492483069891543,,False,1.3502877625113134,0.11770691994572592,0.8013803972212336
seller,6cf476a4ca74498db55cbccdaa9dcfb6,5,2.0,0.6510484561109192,0.4,3.0719679637167587,0.3720295721010047,11.097004531553775,1.348951543889081,0.1389803409903721,,False,1.348951543889081,0.11804613297150611,0.8020944462282273
seller,e1b12447a7563944843191754aeb5562,8,2.0,0.6719409927853772,0.25,2.9764518335299934,0.36046212561008073,10.751967427639256,1.3280590072146228,0.1461124515416506,,False,1.3280590072146228,0.1183853459972863,0.8027974360573481
seller,6ee85be3693ed79a8e80718743d80655,5,2.0,0.6794687482095637,0.4,2.9434760690173114,0.35646860754405457,10.632847628034986,1.3205312517904364,0.14870045971430557,,False,1.3205312517904364,0.11872455902306649,0.8034964411723329
seller,b5abf4f36adc043117b4fca82c22984c,8,2.0,0.687828858035946,0.25,2.907700042872409,0.35213596480319115,10.50361232059036,1.312171141964054,0.1515854058080416,,False,1.312171141964054,0.11906377204884667,0.8041910209777897
seller,d5ba419e26d246a0719437cf37d9b46d,33,4.0,2.6923082389187667,0.12121212121212122,1.4857139840742766,0.4048070565887418,3.8040178785460035,1.3076917610812333,0.28421277095119146,,False,1.3076917610812333,0.11940298507462686,0.8048832296843841
seller,bbaff50f3b708fda865918715276cd87,12,2.0,0.6965237440605465,0.16666666666666666,2.871402471279065,0.34774016048893025,10.37249301166098,1.3034762559394535,0.15459750789014715,,False,1.3034762559394535,0.11974219810040705,0.8055732069711219
seller,082e0bf4cb865a6533b1e8e498cc0255,11,2.0,0.7020793321598129,0.18181818181818182,2.84868092306233,0.34498847558844165,10.29041496706446,1.2979206678401871,0.1565281006998745,,False,1.2979206678401871,0.12008141112618724,0.8062602434834609
seller,0d85bbda9889ce1f7e63778d24f346eb,51,6.0,4.7035460827992726,0.11764705882352941,1.2756332975968536,0.4681349379233494,2.77651665203766,1.2964539172007274,0.33217799868294656,,False,1.2964539172007274,0.12042062415196743,0.8069465035914567
seller,8e8a7ce9f2f970dc00e2acf6f6e199f6,62,6.0,4.710830427975547,0.0967741935483871,1.2736607890550766,0.46741106205283267,2.7722233313609044,1.289169572024453,0.33344480730580434,,False,1.289169572024453,0.12075983717774763,0.8076289078311943
seller,5eeb9c756d9780b96283e5a2ac6da334,9,2.0,0.712399743019973,0.2222222222222222,2.8074125792377322,0.33999068769621155,10.141339519715979,1.287600256980027,0.160126503424961,,False,1.287600256980027,0.12109905020352782,0.8083104813755271
seller,a066df7361163e7ddc5d7452dd17448b,15,3.0,1.7134311348018765,0.2,1.7508728183271218,0.3610720678115483,5.116793369554406,1.2865688651981235,0.2463264442782448,,False,1.2865688651981235,0.12143826322930801,0.8089915089667593
seller,681fce914360217db47784ae28905a96,21,3.0,1.7138437640396058,0.14285714285714285,1.7504512738832545,0.3609851352128876,5.115561437804267,1.2861562359603942,0.24643562465805458,,False,1.2861562359603942,0.1217774762550882,0.8096723181383612
seller,d5b9a084373da994a6e37f732169a853,7,2.0,0.7163071107777538,0.2857142857142857,2.7920984866790377,0.3381360800411131,10.086019751890387,1.2836928892222463,0.16149283835889622,,False,1.2836928892222463,0.12211668928086838,0.8103518233711373
